Female,First-year,None,No,Heterosexual,White,Humanities/arts,No,No,International,Somewhat disapprove,Somewhat informed,Passion for subject,No opinion,,,,,,,,,,,,,,
Male,Sophomore,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,Somewhat disapprove,Somewhat informed,"Passion for subject, Influence of family",Strongly agree,No opinion,Never,Once or twice a month,Somewhat agree,Somewhat disagree,No opinion,Student testing tutor (paid),"Classes, Mutual friends, Other",,,,,,
Male,Senior,None,No,Heterosexual,White,Life sciences,No,No,Domestic,No opinion,Somewhat informed,Passion for subject,Somewhat agree,Strongly agree,Never,Once or twice a month,No opinion,Somewhat disagree,Strongly disagree,"Professional testing tutor (paid), Preparation books","Parties and other social gatherings, Extracurricular activities",,,,,,
Male,Senior,None,No,Heterosexual,White,Life sciences,No,No,Domestic,No opinion,Somewhat informed,Passion for subject,Somewhat agree,Strongly agree,Never,Once or twice a month,No opinion,Somewhat disagree,Strongly disagree,"Professional testing tutor (paid), Preparation books","Parties and other social gatherings, Extracurricular activities",,,,,,
Female,Sophomore,"Grants, covering all costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,Yes,Domestic,Somewhat approve,Somewhat informed,Chances of employment after graduation,Strongly agree,Strongly agree,Never,Once or twice a month,Somewhat agree,No opinion,Somewhat disagree,"Preparation books, Free resources offered by community or school",I have not hooked up with anyone at Brown,,,,,,
Female,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",No,No,Domestic,Somewhat approve,Somewhat informed,"Passion for subject, Chances of employment after graduation",Somewhat disagree,No opinion,Never,Once or twice a month,Somewhat agree,Somewhat disagree,Somewhat disagree,"Preparation books, Free resources offered by community or school","Dating apps or websites, Mutual friends, Parties and other social gatherings, Extracurricular activities",,,,,,
Male,Sophomore,None,No,Gay,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,No opinion,Very uninformed,"Passion for subject, Chances of employment after graduation",Somewhat disagree,No opinion,Never,Once a year,No opinion,Somewhat disagree,No opinion,Professional testing tutor (paid),"Dating apps or websites, Mutual friends, Parties and other social gatherings",,,,,,
Male,Sophomore,None,No,Heterosexual,"White, Other",,No,Yes,Domestic,Somewhat disapprove,Somewhat uninformed,Passion for subject,Strongly disagree,Strongly disagree,Once or twice a month,Once a year,Somewhat agree,Strongly agree,Strongly disagree,Preparation books,"Mutual friends, Parties and other social gatherings",,,,,,
Female,Junior,Grants and loans,No,Gay,Hispanic,Humanities/arts,Yes,No,Domestic,Somewhat approve,Somewhat informed,Passion for subject,No opinion,Strongly agree,Never,Once a year,Somewhat disagree,Strongly disagree,Strongly disagree,No resources,"Dating apps or websites, Classes, Mutual friends, Other",,,,,,
Male,Junior,None,No,Heterosexual,White,"Humanities/arts, Life sciences",Yes,No,Domestic,Somewhat approve,Very informed,"Passion for subject, Influence of faculty members",Somewhat agree,Somewhat agree,More than once a week,Once a year,Strongly agree,Strongly agree,Strongly disagree,"Professional testing tutor (paid), Testing classes (paid)","Mutual friends, Parties and other social gatherings, Extracurricular activities",,,,,,
Male,Sophomore,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No opinion,Somewhat uninformed,Passion for subject,Somewhat agree,No opinion,Once a year,Once a year,Somewhat agree,Somewhat disagree,No opinion,"Professional testing tutor (paid), Preparation books, Free resources offered by community or school","Classes, Mutual friends, Housing arrangements",,,,,,
Male,First-year,"Grants, covering all costs",No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,Yes,Domestic,No opinion,Somewhat uninformed,Chances of employment after graduation,Somewhat agree,No opinion,Once a year,Once a year,Somewhat agree,Strongly agree,No opinion,Free resources offered by community or school,"Classes, Mutual friends",,,,,,
Male,Junior,Grants and loans,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,Somewhat approve,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of family",No opinion,Somewhat disagree,Never,Never,Somewhat agree,Somewhat agree,No opinion,Preparation books,I have not hooked up with anyone at Brown,,,,,,
Male,First-year,Grants and loans,No,Other,White,Humanities/arts,No,No,Domestic,Somewhat disapprove,Very informed,Passion for subject,Strongly agree,Strongly agree,Once a year,Once a week,Somewhat disagree,Strongly disagree,Strongly agree,No resources,"Dating apps or websites, Mutual friends, Parties and other social gatherings, Extracurricular activities",,,,,,
Female,Junior,Grants and loans,No,Heterosexual,Black,Life sciences,No,No,Domestic,Somewhat approve,Somewhat uninformed,"Passion for subject, Chances of employment after graduation",Somewhat disagree,Strongly agree,Once a year,Once or twice a semester,Strongly agree,Strongly agree,Strongly disagree,"Testing classes (paid), Preparation books","Dating apps or websites, Classes, Mutual friends, Parties and other social gatherings, Extracurricular activities",,,,,,
Female,Senior,"Grants, covering all costs",No,Heterosexual,White,Life sciences,No,No,Domestic,No opinion,Very informed,Passion for subject,Strongly agree,Strongly agree,Once a year,Once or twice a month,Somewhat agree,No opinion,Strongly disagree,No resources,Parties and other social gatherings,,,,,,
Male,Sophomore,Grants and loans,No,Gay,White,Life sciences,No,No,Domestic,Somewhat approve,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of faculty members, Influence of family",Somewhat agree,Strongly agree,Once or twice a month,Once or twice a month,Strongly agree,No opinion,Somewhat agree,"Professional testing tutor (paid), Preparation books","Dating apps or websites, Classes, Mutual friends, Parties and other social gatherings, Extracurricular activities",,,,,,
Female,Junior,"Grants, covering some costs",No,Heterosexual,Asian,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,Yes,Domestic,Somewhat approve,Very informed,"Passion for subject, Influence of faculty members",No opinion,Strongly agree,Once or twice a semester,Once or twice a month,Somewhat agree,Somewhat agree,No opinion,"Testing classes (paid), Preparation books","Classes, Mutual friends, Parties and other social gatherings",,,,,,
Male,Sophomore,None,Yes,Heterosexual,White,Business (BEO or econ),No,No,Domestic,Somewhat disapprove,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of family",Somewhat disagree,Strongly disagree,Once or twice a semester,Never,Strongly agree,Strongly agree,Somewhat agree,"Preparation books, Free resources offered by community or school","Classes, Mutual friends, Parties and other social gatherings, Other",,,,,,
Male,Sophomore,"Grants, covering all costs",No,Heterosexual,Native Hawaiian/Pacific Islander,"Physical sciences (incl. math, CS)",No,Yes,Domestic,No opinion,Somewhat informed,"Passion for subject, Chances of employment after graduation",Somewhat agree,Strongly agree,Once a year,Once a year,Somewhat agree,No opinion,No opinion,No resources,"Classes, Mutual friends, Parties and other social gatherings, Extracurricular activities",,,,,,
Male,First-year,None,Yes,Heterosexual,White,Business (BEO or econ),No,No,Domestic,Somewhat disapprove,Very informed,"Passion for subject, Chances of employment after graduation, Influence of family",Somewhat agree,Strongly disagree,More than once a week,Once a year,Somewhat disagree,Strongly agree,No opinion,"Professional testing tutor (paid), Preparation books",I have not hooked up with anyone at Brown,,,,,,
Male,Senior,None,Yes,Heterosexual,White,Business (BEO or econ),No,No,International,No opinion,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of peers, Influence of family",Somewhat disagree,Somewhat agree,Never,Never,Somewhat agree,Strongly agree,No opinion,"Professional testing tutor (paid), Student testing tutor (paid), Testing classes (paid), Preparation books, Free resources offered by community or school","Classes, Mutual friends, Housing arrangements, Parties and other social gatherings, Extracurricular activities",,,,,,
Female,Senior,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,Somewhat approve,Very informed,Passion for subject,No opinion,Strongly agree,Once a year,Once or twice a semester,Somewhat disagree,Somewhat disagree,No opinion,"Professional testing tutor (paid), Preparation books","Classes, Mutual friends, Parties and other social gatherings",,,,,,
Female,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,Strongly approve,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of family",Strongly disagree,Strongly disagree,Never,Never,Somewhat agree,Somewhat disagree,Strongly disagree,Preparation books,I have not hooked up with anyone at Brown,,,,,,
Male,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,International,Somewhat approve,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of family",Somewhat disagree,Strongly agree,Once a year,Once or twice a month,Strongly agree,Strongly agree,Somewhat disagree,"Testing classes (paid), Preparation books, Free resources offered by community or school",I have not hooked up with anyone at Brown,,,,,,
Male,Sophomore,Just loans,No,Heterosexual,Asian,"Humanities/arts, Physical sciences (incl. math, CS)",No,No,Domestic,Somewhat disapprove,Somewhat informed,"Passion for subject, Chances of employment after graduation",No opinion,Strongly agree,Never,Once or twice a semester,Strongly agree,Somewhat agree,Somewhat disagree,Preparation books,"Classes, Mutual friends",,,,,,
Male,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,No opinion,Somewhat uninformed,Passion for subject,No opinion,No opinion,Never,Once or twice a semester,Somewhat agree,No opinion,Strongly disagree,Testing classes (paid),Mutual friends,,,,,,
Female,Senior,Grants and loans,No,Heterosexual,White,Life sciences,No,No,Domestic,Somewhat approve,Somewhat uninformed,"Passion for subject, Chances of employment after graduation",Somewhat disagree,Somewhat agree,Never,Once or twice a semester,Somewhat agree,Somewhat disagree,Somewhat disagree,"Preparation books, Free resources offered by community or school","Dating apps or websites, Housing arrangements, Parties and other social gatherings",,,,,,
Female,Sophomore,Just loans,No,Heterosexual,White,Humanities/arts,No,No,Domestic,,Very informed,"Passion for subject, Influence of faculty members, Influence of peers",Strongly agree,Strongly agree,Never,Once or twice a month,Somewhat agree,No opinion,Strongly disagree,Preparation books,Mutual friends,,,,,,
Female,Sophomore,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,Somewhat approve,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of faculty members",Strongly agree,Somewhat disagree,Once a year,Once a week,Strongly agree,Somewhat disagree,Somewhat disagree,"Preparation books, Free resources offered by community or school",I have not hooked up with anyone at Brown,,,,,,
Male,Senior,"Grants, covering some costs",No,Heterosexual,"White, Hispanic, American Indian/Alaska Native",Life sciences,No,Yes,Domestic,Somewhat disapprove,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of peers",Strongly agree,Strongly agree,Once a year,Once a year,Somewhat agree,Somewhat agree,Somewhat disagree,Free resources offered by community or school,I have not hooked up with anyone at Brown,,,,,,
Female,Junior,None,No,Heterosexual,Asian,Life sciences,No,No,International,No opinion,Very informed,"Passion for subject, Chances of employment after graduation",Somewhat disagree,Somewhat disagree,Once or twice a semester,Once a year,Somewhat agree,Somewhat agree,No opinion,Testing classes (paid),I have not hooked up with anyone at Brown,,,,,,
Female,First-year,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,Somewhat disapprove,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of faculty members, Influence of peers",Somewhat agree,Somewhat agree,Once or twice a semester,Once or twice a month,Strongly agree,Somewhat agree,Somewhat disagree,"Preparation books, Free resources offered by community or school","Classes, Mutual friends, Parties and other social gatherings, Extracurricular activities",,,,,,
Male,Sophomore,None,No,Heterosexual,White,Business (BEO or econ),No,No,Domestic,Somewhat approve,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of family",No opinion,Somewhat disagree,Once or twice a semester,Once or twice a month,Somewhat agree,Somewhat disagree,No opinion,"Professional testing tutor (paid), Preparation books","Classes, Mutual friends, Parties and other social gatherings",,,,,,
Female,First-year,None,No,Heterosexual,Black,Social sciences (not incl. BEO or econ),No,No,Domestic,No opinion,Somewhat informed,"Passion for subject, Chances of employment after graduation",Strongly agree,Strongly agree,Once or twice a semester,Once or twice a semester,Somewhat agree,Strongly agree,No opinion,"Professional testing tutor (paid), Preparation books",I have not hooked up with anyone at Brown,,,,,,
Male,Sophomore,Grants and loans,No,Heterosexual,White,Business (BEO or econ),No,No,Domestic,No opinion,Somewhat informed,"Passion for subject, Chances of employment after graduation",Strongly disagree,Somewhat disagree,Once a week,Once a year,Strongly agree,Strongly agree,Strongly disagree,"Professional testing tutor (paid), Preparation books","Classes, Mutual friends, Housing arrangements, Parties and other social gatherings",,,,,,
Female,Sophomore,None,Yes,Bisexual,White,Humanities/arts,No,No,Domestic,Somewhat approve,Somewhat informed,Passion for subject,Strongly agree,Strongly agree,Once or twice a month,Once or twice a month,Somewhat agree,Somewhat agree,No opinion,"Professional testing tutor (paid), Preparation books","Mutual friends, Parties and other social gatherings, Extracurricular activities",,,,,,
Female,Sophomore,"Grants, covering some costs",No,Bisexual,Asian,Humanities/arts,No,Yes,Domestic,No opinion,Somewhat informed,"Passion for subject, Influence of faculty members",No opinion,Strongly agree,Once a year,Once a year,No opinion,No opinion,No opinion,"Preparation books, Free resources offered by community or school","Mutual friends, Extracurricular activities",,,,,,
Female,Senior,"Grants, covering some costs",No,Bisexual,Hispanic,Humanities/arts,No,Yes,Domestic,Somewhat approve,Somewhat informed,Passion for subject,No opinion,Somewhat agree,Once a year,Once or twice a semester,Somewhat agree,Somewhat disagree,No opinion,Free resources offered by community or school,"Classes, Mutual friends, Parties and other social gatherings",,,,,,
Male,Sophomore,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No opinion,Somewhat informed,"Passion for subject, Influence of faculty members, Influence of peers",Strongly disagree,No opinion,Never,Once a week,Somewhat agree,No opinion,No opinion,"Professional testing tutor (paid), Preparation books, Free resources offered by community or school","Dating apps or websites, Classes, Mutual friends, Parties and other social gatherings, Extracurricular activities",,,,,,
Male,Sophomore,Grants and loans,No,Gay,White,"Physical sciences (incl. math, CS)",Yes,No,Domestic,Somewhat approve,Very informed,"Passion for subject, Influence of faculty members, Influence of peers",No opinion,Strongly agree,Once or twice a semester,Once a week,Somewhat agree,Somewhat disagree,Strongly disagree,"Preparation books, Free resources offered by community or school","Classes, Parties and other social gatherings, Extracurricular activities",,,,,,
Female,Senior,None,No,Heterosexual,"White, Hispanic",Business (BEO or econ),Yes,No,International,Somewhat approve,Somewhat informed,"Passion for subject, Chances of employment after graduation",Somewhat disagree,Strongly agree,Once or twice a semester,Once or twice a semester,Somewhat agree,Strongly agree,Strongly disagree,"Professional testing tutor (paid), Preparation books","Classes, Mutual friends, Parties and other social gatherings, Extracurricular activities",,,,,,
Female,Sophomore,None,No,Bisexual,White,Humanities/arts,No,No,Domestic,No opinion,Somewhat informed,Passion for subject,Strongly agree,Strongly agree,Once a year,Once or twice a semester,Strongly agree,Somewhat agree,Strongly disagree,"Professional testing tutor (paid), Testing classes (paid), Preparation books","Mutual friends, Parties and other social gatherings",,,,,,
Female,Junior,None,No,Heterosexual,Asian,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,Somewhat disapprove,Somewhat informed,Passion for subject,Strongly agree,Strongly agree,Once or twice a semester,Once or twice a month,Strongly agree,Somewhat agree,Somewhat disagree,"Professional testing tutor (paid), Testing classes (paid), Preparation books, Free resources offered by community or school","Mutual friends, Housing arrangements, Parties and other social gatherings",,,,,,
Female,Sophomore,"Grants, covering all costs",No,Heterosexual,Black,Humanities/arts,No,Yes,Domestic,Somewhat disapprove,Somewhat informed,Passion for subject,Somewhat agree,Strongly agree,Once or twice a semester,Once or twice a semester,Somewhat agree,Strongly disagree,Strongly disagree,"Preparation books, Free resources offered by community or school",,,,,,,
Female,Sophomore,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS), Business (BEO or econ)",No,No,Domestic,No opinion,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of family",No opinion,Somewhat disagree,Never,Once a year,Somewhat agree,Somewhat agree,No opinion,"Preparation books, Free resources offered by community or school","Dating apps or websites, Parties and other social gatherings, Extracurricular activities",,,,,,
Female,Senior,None,Yes,Gay,White,Life sciences,Yes,No,Domestic,Somewhat disapprove,Very informed,"Passion for subject, Influence of faculty members",Strongly agree,Strongly agree,Once or twice a month,Once or twice a semester,Somewhat agree,Strongly disagree,Somewhat agree,No resources,Parties and other social gatherings,,,,,,
Female,Senior,"Grants, covering some costs",No,Heterosexual,White,"Life sciences, Social sciences (not incl. BEO or econ)",No,No,International,No opinion,Somewhat uninformed,"Passion for subject, Chances of employment after graduation",Somewhat disagree,Strongly agree,Never,Never,Somewhat agree,Strongly agree,No opinion,No resources,I have not hooked up with anyone at Brown,,,,,,
Female,Sophomore,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,Strongly approve,Somewhat informed,Passion for subject,No opinion,Strongly agree,Once a year,Once or twice a semester,Somewhat agree,Somewhat agree,Strongly disagree,Professional testing tutor (paid),"Classes, Mutual friends",,,,,,
Male,Sophomore,Just loans,No,Heterosexual,White,Life sciences,No,No,Domestic,No opinion,Somewhat informed,"Passion for subject, Chances of employment after graduation",Strongly disagree,Somewhat agree,Never,Once a year,No opinion,Somewhat agree,Somewhat disagree,Free resources offered by community or school,I have not hooked up with anyone at Brown,,,,,,
Male,Senior,None,No,Heterosexual,Asian,Social sciences (not incl. BEO or econ),No,No,International,Strongly approve,Somewhat informed,Passion for subject,Somewhat agree,Strongly disagree,Never,Never,Somewhat agree,Strongly agree,Strongly disagree,Preparation books,Other,,,,,,
Female,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,No opinion,Somewhat uninformed,Chances of employment after graduation,No opinion,Somewhat agree,Once a week,Once or twice a semester,No opinion,Somewhat agree,No opinion,"Professional testing tutor (paid), Student testing tutor (paid), Testing classes (paid)","Mutual friends, Extracurricular activities",,,,,,
Female,Junior,Just loans,No,Heterosexual,Other,Life sciences,No,No,Domestic,Somewhat approve,Somewhat informed,Passion for subject,Somewhat agree,Somewhat agree,Once a year,Once or twice a semester,Somewhat agree,Somewhat agree,No opinion,"Professional testing tutor (paid), Preparation books, Free resources offered by community or school",I have not hooked up with anyone at Brown,,,,,,
Male,First-year,Grants and loans,No,Heterosexual,"Asian, Native Hawaiian/Pacific Islander","Physical sciences (incl. math, CS)",Yes,Yes,Domestic,No opinion,Somewhat uninformed,"Passion for subject, Chances of employment after graduation",Somewhat agree,Strongly agree,Never,Once or twice a semester,Strongly agree,Somewhat agree,No opinion,"Preparation books, Free resources offered by community or school",I have not hooked up with anyone at Brown,,,,,,
Female,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,International,No opinion,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of family",Somewhat agree,Strongly agree,Once or twice a semester,Once or twice a month,Somewhat agree,Somewhat agree,No opinion,"Preparation books, Free resources offered by community or school","Classes, Mutual friends, Parties and other social gatherings",,,,,,
Female,First-year,None,No,Bisexual,White,"Physical sciences (incl. math, CS)",Yes,No,Domestic,Somewhat approve,Somewhat uninformed,"Passion for subject, Chances of employment after graduation",No opinion,Strongly agree,Once a year,Once or twice a semester,Somewhat agree,No opinion,Strongly disagree,Preparation books,I have not hooked up with anyone at Brown,,,,,,
Male,Junior,Just loans,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,Somewhat approve,Somewhat uninformed,"Passion for subject, Chances of employment after graduation, Influence of peers",No opinion,Somewhat agree,Never,Once or twice a semester,Somewhat agree,Somewhat agree,No opinion,"Professional testing tutor (paid), Testing classes (paid), Preparation books","Mutual friends, Parties and other social gatherings",,,,,,
Male,Sophomore,None,No,Heterosexual,"White, Asian","Humanities/arts, Business (BEO or econ)",No,No,International,Somewhat disapprove,Very informed,Passion for subject,Strongly agree,Somewhat agree,Never,Once or twice a month,Strongly agree,Strongly agree,Strongly disagree,"Professional testing tutor (paid), Testing classes (paid), Preparation books, Free resources offered by community or school","Classes, Mutual friends, Housing arrangements",,,,,,
Male,First-year,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Yes,No,Domestic,Somewhat approve,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of family",No opinion,Strongly agree,Once or twice a semester,Once or twice a semester,Strongly agree,No opinion,Strongly disagree,"Professional testing tutor (paid), Preparation books, Free resources offered by community or school","Classes, Mutual friends, Parties and other social gatherings",,,,,,
Female,Senior,Just loans,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,No opinion,Very informed,"Passion for subject, Influence of family",Strongly agree,Strongly agree,Once or twice a semester,Once or twice a semester,Somewhat agree,No opinion,Somewhat disagree,"Testing classes (paid), Preparation books, Free resources offered by community or school",Parties and other social gatherings,,,,,,
Female,First-year,Grants and loans,No,Heterosexual,Hispanic,Humanities/arts,No,No,Domestic,Somewhat approve,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of faculty members, Influence of peers, Influence of family",Strongly agree,Somewhat agree,Once a week,Once a week,No opinion,Strongly disagree,No opinion,Preparation books,I have not hooked up with anyone at Brown,,,,,,
Female,Sophomore,Grants and loans,No,Gay,White,Humanities/arts,No,No,Domestic,Somewhat disapprove,Very informed,"Passion for subject, Influence of faculty members",Strongly agree,Strongly agree,Never,Once or twice a month,Somewhat disagree,Strongly disagree,Strongly disagree,Preparation books,"Mutual friends, Housing arrangements, Parties and other social gatherings",,,,,,
Female,Sophomore,Just loans,No,Heterosexual,"White, Asian","Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,No opinion,Somewhat informed,Passion for subject,Strongly agree,Strongly agree,Never,Once a year,Somewhat agree,Somewhat disagree,Somewhat disagree,No resources,"Dating apps or websites, Mutual friends, Housing arrangements",,,,,,
Female,First-year,"Grants, covering some costs",Yes,Heterosexual,Black,Humanities/arts,No,Yes,Domestic,No opinion,Somewhat informed,"Passion for subject, Influence of family",Strongly agree,Strongly agree,Once or twice a month,Once or twice a month,Somewhat agree,Somewhat agree,No opinion,Free resources offered by community or school,"Mutual friends, Parties and other social gatherings",,,,,,
Female,Junior,Grants and loans,No,Heterosexual,White,Life sciences,No,No,Domestic,Somewhat approve,Somewhat informed,"Chances of employment after graduation, Influence of peers",Somewhat agree,Somewhat agree,Once a year,Once a week,Strongly agree,Somewhat agree,No opinion,No resources,Mutual friends,,,,,,
Female,Sophomore,Grants and loans,No,Bisexual,White,Humanities/arts,Yes,No,Domestic,Somewhat disapprove,Somewhat informed,"Passion for subject, Influence of faculty members",Somewhat agree,Strongly agree,Never,Once or twice a semester,Somewhat agree,Strongly disagree,Strongly disagree,"Professional testing tutor (paid), Free resources offered by community or school",I have not hooked up with anyone at Brown,,,,,,
Female,First-year,Grants and loans,No,Heterosexual,Asian,Humanities/arts,Yes,No,Domestic,No opinion,Somewhat informed,Passion for subject,Strongly agree,Somewhat agree,Never,Once or twice a month,Somewhat agree,No opinion,Somewhat disagree,Preparation books,I have not hooked up with anyone at Brown,,,,,,
Female,First-year,None,Yes,Heterosexual,White,Social sciences (not incl. BEO or econ),No,No,Domestic,Somewhat approve,Somewhat informed,Passion for subject,No opinion,Somewhat agree,Once or twice a semester,Once or twice a semester,Somewhat agree,No opinion,Somewhat disagree,"Student testing tutor (paid), Testing classes (paid), Preparation books","Parties and other social gatherings, Extracurricular activities, Other",,,,,,
Female,First-year,"Grants, covering all costs",No,Bisexual,White,Social sciences (not incl. BEO or econ),No,No,Domestic,No opinion,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of faculty members, Influence of peers, Influence of family",Strongly agree,Strongly agree,Never,Once or twice a month,Somewhat agree,Somewhat disagree,Strongly disagree,No resources,Parties and other social gatherings,,,,,,
Male,Sophomore,None,Yes,Heterosexual,"White, Black",Business (BEO or econ),No,No,Domestic,No opinion,Very informed,Chances of employment after graduation,No opinion,Strongly disagree,Once or twice a semester,Once or twice a semester,Strongly agree,Strongly agree,Strongly disagree,"Professional testing tutor (paid), Student testing tutor (paid), Testing classes (paid), Preparation books, Free resources offered by community or school","Dating apps or websites, Classes, Mutual friends, Parties and other social gatherings, Extracurricular activities",,,,,,
Female,Junior,"Grants, covering all costs",No,Heterosexual,Black,"Physical sciences (incl. math, CS), Social sciences (not incl. BEO or econ)",,No,Domestic,Somewhat disapprove,Somewhat informed,"Chances of employment after graduation, Influence of family",Somewhat agree,Somewhat agree,Never,More than once a week,Somewhat agree,No opinion,Somewhat disagree,"Preparation books, Free resources offered by community or school",Parties and other social gatherings,,,,,,
Male,Sophomore,None,No,Heterosexual,Asian,"Humanities/arts, Business (BEO or econ)",Yes,No,Domestic,Strongly approve,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of family",Somewhat agree,Somewhat agree,Once or twice a semester,Once a year,Somewhat agree,Somewhat agree,Strongly disagree,Preparation books,"Mutual friends, Parties and other social gatherings",,,,,,
